CPU Usage: 0.810979%, Memory Usage: 25.748453%
CPU Usage: 1.122895%, Memory Usage: 25.738435%
CPU Usage: 0.124922%, Memory Usage: 25.735214%
CPU Usage: 0.687500%, Memory Usage: 25.751775%
CPU Usage: 0.438871%, Memory Usage: 25.754791%
CPU Usage: 1.623985%, Memory Usage: 25.761793%
CPU Usage: 0.374766%, Memory Usage: 25.763736%
CPU Usage: 1.249219%, Memory Usage: 25.751315%
CPU Usage: 0.125000%, Memory Usage: 25.741041%
CPU Usage: 1.128527%, Memory Usage: 25.744568%
CPU Usage: 0.563204%, Memory Usage: 25.741246%
CPU Usage: 0.751409%, Memory Usage: 25.738077%
CPU Usage: 0.312110%, Memory Usage: 25.721363%
CPU Usage: 0.688360%, Memory Usage: 25.749731%
CPU Usage: 0.875547%, Memory Usage: 25.734499%
CPU Usage: 0.999375%, Memory Usage: 25.766036%
CPU Usage: 0.750000%, Memory Usage: 25.782136%
CPU Usage: 0.000000%, Memory Usage: 25.778916%
CPU Usage: 0.810979%, Memory Usage: 25.785306%
CPU Usage: 0.563910%, Memory Usage: 25.775645%
CPU Usage: 1.005025%, Memory Usage: 25.795119%
CPU Usage: 0.187500%, Memory Usage: 25.781983%
CPU Usage: 1.060512%, Memory Usage: 25.766087%
CPU Usage: 0.000000%, Memory Usage: 25.765780%
CPU Usage: 1.311680%, Memory Usage: 25.792359%
CPU Usage: 0.625782%, Memory Usage: 25.788679%
CPU Usage: 0.937500%, Memory Usage: 25.785459%
CPU Usage: 0.249532%, Memory Usage: 25.768949%
CPU Usage: 0.562852%, Memory Usage: 25.749015%
CPU Usage: 0.811993%, Memory Usage: 25.752235%
CPU Usage: 1.500938%, Memory Usage: 25.765218%
CPU Usage: 0.312305%, Memory Usage: 25.755251%
CPU Usage: 0.624610%, Memory Usage: 25.755609%
CPU Usage: 0.124844%, Memory Usage: 25.745437%
CPU Usage: 1.127820%, Memory Usage: 25.797471%
CPU Usage: 0.935745%, Memory Usage: 25.804166%
CPU Usage: 0.750939%, Memory Usage: 25.810300%
CPU Usage: 0.062500%, Memory Usage: 25.768285%
CPU Usage: 0.000000%, Memory Usage: 25.767620%
CPU Usage: 1.190476%, Memory Usage: 25.777127%
CPU Usage: 0.750469%, Memory Usage: 25.773805%
CPU Usage: 0.937500%, Memory Usage: 25.777025%
CPU Usage: 0.000000%, Memory Usage: 25.773805%
CPU Usage: 0.749064%, Memory Usage: 25.777536%
CPU Usage: 0.626959%, Memory Usage: 25.805751%
CPU Usage: 2.056075%, Memory Usage: 25.834579%
CPU Usage: 0.312305%, Memory Usage: 25.828241%
CPU Usage: 0.934579%, Memory Usage: 25.831256%
CPU Usage: 0.062461%, Memory Usage: 25.831256%
CPU Usage: 1.381042%, Memory Usage: 25.847613%
CPU Usage: 0.687930%, Memory Usage: 25.869438%
CPU Usage: 0.877193%, Memory Usage: 25.816894%
CPU Usage: 4.054897%, Memory Usage: 25.658647%
CPU Usage: 0.928218%, Memory Usage: 25.668103%
CPU Usage: 1.235330%, Memory Usage: 25.684203%
CPU Usage: 1.564456%, Memory Usage: 25.693813%
CPU Usage: 0.561798%, Memory Usage: 25.671374%
CPU Usage: 0.687071%, Memory Usage: 25.683079%
CPU Usage: 0.250000%, Memory Usage: 25.679808%
CPU Usage: 0.501882%, Memory Usage: 25.683028%
CPU Usage: 1.567398%, Memory Usage: 25.670352%
CPU Usage: 0.312110%, Memory Usage: 25.670045%
CPU Usage: 0.750939%, Memory Usage: 25.666978%
CPU Usage: 0.187149%, Memory Usage: 25.666671%
CPU Usage: 1.315789%, Memory Usage: 25.686248%
CPU Usage: 0.438871%, Memory Usage: 25.709044%
